Team,Owner 01,,,Owner 02,,,Owner 03,,,Owner 04,,,Owner 05,,,Owner 06,,,Owner 07,,,Owner 08,,,Owner 09,,,Owner 10,,,Owner 11,,,Owner 12,,,Owner 13,,,Owner 14,,
Money Left,$0 ,,,$0 ,,,$0 ,,,$1 ,,,$0 ,,,$1 ,,,$0 ,,,$2 ,,,$0 ,,,$0 ,,,$0 ,,,$0 ,,,$0 ,,,$0 ,,
Max Bid,$1 ,,,$1 ,,,$1 ,,,$1 ,,,$1 ,,,$2 ,,,$1 ,,,$3 ,,,$1 ,,,$1 ,,,$1 ,,,$1 ,,,$1 ,,,$1 ,,
1,$14 ,WR,Deebo Samuel,$3 ,RB,Alexander Mattison,$5 ,WR,Chris Olave,$16 ,RB,Rhamondre Stevenson,$6 ,WR,Tyler Lockett,$36 ,WR,Cooper Kupp,$4 ,RB,Tony Pollard,$17 ,WR,Ja'Marr Chase,$7 ,WR,Calvin Ridley,$3 ,WR,Treylon Burks,$12 ,RB,James Conner,$27 ,WR,Amon-Ra St. Brown,$9 ,RB,Travis Etienne,$3 ,RB,Kenneth Walker III
2,$72 ,RB,Saquon Barkley,$32 ,QB,Josh Allen,$79 ,WR,Justin Jefferson,$60 ,TE,Travis Kelce,$26 ,QB,Lamar Jackson,$21 ,RB,Khalil Herbert,$67 ,RB,Derrick Henry,$78 ,RB,Austin Ekeler,$68 ,RB,Nick Chubb,$66 ,RB,Bijan Robinson,$45 ,RB,Jonathan Taylor,$54 ,RB,Jahmyr Gibbs,$74 ,RB,Christian McCaffrey,$73 ,WR,Tyreek Hill
3,$33 ,QB,Jalen Hurts ,$60 ,WR,Stefon Diggs,$65 ,WR,CeeDee Lamb,$60 ,WR,Garrett Wilson,$51 ,RB,Josh Jacobs,$48 ,RB,Aaron Jones,$33 ,RB,Breece Hall,$19 ,QB,Joe Burrow,$20 ,RB,Isaih Pacheco,$62 ,RB,Joe Mixon,$6 ,RB,Deuce Vaughn,$60 ,WR,A.J. Brown,$31 ,QB,Patrick Mahomes,$65 ,WR,Davante Adams
4,$12 ,WR,Jordan Addison,$50 ,RB,Najee Harris,$19 ,QB,Justin Herbert,$42 ,WR,DeVonta Smith,$1 ,QB,Mac Jones,$26 ,RB,J.K. Dobbins,$29 ,TE,Mark Andrews,$23 ,RB,Alvin Kamara,$9 ,TE,Evan Engram,$31 ,RB,Miles Sanders,$41 ,WR,Tee Higgins,$10 ,QB,Deshaun Watson,$21 ,TE,Darren Waller,$11 ,TE,Kyle Pitts
5,$22 ,RB,Dameon Pierce,$12 ,WR,Michael Thomas,$2 ,TE,Tyler Higbee,$9 ,RB,Jerick McKinnon,$21 ,TE,T.J. Hockenson,$17 ,QB,Justin Fields,$26 ,WR,Amari Cooper,$31 ,WR,DK Metcalf,$36 ,WR,Jerry Jeudy ,$6 ,RB,Jaylen Warren,$22 ,TE,George Kittle,$20 ,RB,James Cook,$20 ,WR,Terry McLaurin,$6 ,RB,Tank Bigsby
6,$16 ,RB,Rachaad White,$20 ,WR,Christian Watson,$15 ,RB,David Montgomery,$2 ,QB,Tua Tagovailoa,$26 ,RB,Dalvin Cook,$20 ,RB,Javonte Williams,$5 ,DEF,San Francisco 49ers,$6 ,RB,Jamaal Williams,$34 ,WR,D.J. Moore,$5 ,QB,Aaron Rodgers,$46 ,WR,Jaylen Waddle,$10 ,WR,Christian Kirk,$17 ,WR,DeAndre Hopkins,$9 ,RB,D'Andre Swift
7,$3 ,DEF,New England Patriots,$4 ,TE,Dalton Kincaid,$1 ,K,Jake Elliott,$1 ,K,Greg Zuerlein,$35 ,WR,Keenan Allen,$2 ,K,Evan McPherson,$6 ,K,Justin Tucker,$6 ,RB,Ezekiel Elliott,$8 ,QB,Daniel Jones,$13 ,WR,Jahan Dotson,$2 ,QB,Geno Smith,$1 ,TE,Dalton Schultz,$6 ,WR,Drake London,$4 ,QB,Kirk Cousins
8,$16 ,WR,Chris Godwin,$7 ,RB,Zach Charbonnet,$4 ,RB,Brian Robinson,$2 ,WR,Nico Collins,$16 ,RB,Cam Akers,$8 ,TE,Dallas Goedert,$20 ,WR,George Pickens,$4 ,WR,Skyy Moore,$3 ,DEF,Buffalo Bills,$2 ,K,Tyler Bass,$3 ,RB,Samaje Perine,$5 ,WR,Jaxon Smith-Njigba,$1 ,K,Riley Patterson,$10 ,WR,Mike Williams
